id;quote;add_username
-1;Чё внатууууури?????;amaslovskii
-2;не фоток, не комментов;amaslovskii
-3;слишком диструктивное чувство;amaslovskii
-4;какого это;amaslovskii
-5;Но наверно не сецчас точно;amaslovskii
-6;помойму...;amaslovskii
-7;наврятле;amaslovskii
-8;мне нравится грязь в сексе;amaslovskii
-9;я кстати хочу чтобы меня обоссали;amaslovskii
-10;я тут вдохнул кой че;amaslovskii
-11;не с привычки;amaslovskii
-12;охото;amaslovskii
-13;не охото;amaslovskii
-14;Олеська проститутка;amaslovskii
-15;я делаю куни, потому что мне нравится;amaslovskii
-16;охото по хребтине въебать;amaslovskii
-17;Зачем эта грязь в чате?;amaslovskii
-18;Мерзкая хуйня пиздец;amaslovskii
-19;Я обсужу это со своим психологом;amaslovskii
-20;После этих слов иди ты нахуй просто;amaslovskii
-21;Султанский соляк охуевший;amaslovskii
-22;Вася пидорасина;amaslovskii
-23;Лорд Канцлер;amaslovskii
-24;Полина ветчина;amaslovskii
-25;Мужик дверь открывает;amaslovskii
-26;Секс по-итальянски в подмыху;amaslovskii
-27;Через гаридушку;amaslovskii
-28;Медиаторный слэп;amaslovskii
-29;Мишка мне пизды даст;amaslovskii
-30;Не вкурси;amaslovskii
-31;Рыжуха плакала от пиццы;amaslovskii
-32;Сколько получаешь?;amaslovskii
-33;Можно хотя бы орешки?;amaslovskii
-34;Аксессуары;amaslovskii
-35;Суточно говно;amaslovskii
-36;Любезный подошел;amaslovskii
-37;Картонку ставил на радиатор;amaslovskii
-38;Куколды;amaslovskii
-39;В науках не силен;amaslovskii
-40;Я как услышал у меня аж хуй упал;amaslovskii
-41;Как зверина;amaslovskii
-42;пусть вот этим займется шмара тупая;amaslovskii
-43;ебать очко;amaslovskii
-44;Нефть;amaslovskii
-45;Для эконом вечера заебись;amaslovskii
-46;Какая в Ашане кулинария демократичная;amaslovskii
-47;Лучше скажи как Шиш Тату ебет;amaslovskii
-48;Пацаны, вы меня наебываете;amaslovskii
-49;Жень, реально Тату ебал?;amaslovskii
-50;Говорю пососи;amaslovskii
-51;А есть чё на пару дней?;amaslovskii
-52;Выход в море корабли;amaslovskii
-53;Договорился на конкрет;amaslovskii
-54;Я кмс по греко-римской;amaslovskii
-55;Камень;amaslovskii
-56;Газовать можно?;amaslovskii
-57;На чилле;amaslovskii
-58;че за хуй?;amaslovskii
-59;Сделаешь мне Териберку?;amaslovskii
-60;я решил что вам подарю подарки в этом году;amaslovskii
-61;На бачату пойду;amaslovskii
-62;Даже делится не хочу;amaslovskii
-63;x10 к вечеру;amaslovskii
-64;x2 хлеба;amaslovskii
-65;фетиш фетиш;amaslovskii
-66;ТрАпизничить как барон;amaslovskii
-67;А еще я сегодня два раза трахался и один раз дрочил;amaslovskii
